 ;  Método de Fermat  ;  ; 
n ; p ; q ; tempo (ms)
522570959429620387526021 ; 1000000016531 ; 522570950791 ; 9527481
522570959467478083954321 ; 1000000016569 ; 522570950809 ; 9558860
522570959506651773595841 ; 1000000016621 ; 522570950821 ; 9502664
522570959550832341867569 ; 1000000016629 ; 522570950861 ; 9552483
522570959588328903219437 ; 1000000016651 ; 522570950887 ; 9556094
522570959698662525958171 ; 1000000016843 ; 522570950897 ; 9472964
522570959707797951764647 ; 1000000016849 ; 522570950903 ; 9457729
522570959758068803917367 ; 1000000016861 ; 522570950947 ; 9457688
522570959886905866259597 ; 1000000017031 ; 522570950987 ; 9472725
522570959966131577030501 ; 1000000017041 ; 522570951061 ; 9486115
522570959985176719239397 ; 1000000017043 ; 522570951079 ; 9488135
522570960055718423055179 ; 1000000017067 ; 522570951137 ; 9553692
522570960165110944803043 ; 1000000017173 ; 522570951191 ; 9483063
522570960258426939597799 ; 1000000017187 ; 522570951277 ; 9528520
522570960297871480583033 ; 1000000017251 ; 522570951283 ; 9597943
522570960321458325489161 ; 1000000017277 ; 522570951293 ; 9528333
