 ;  Método da Divisão  ;  ; 
n ; p ; q ; tempo (ms)
83117 ; 91183 ; 1363 ; 
83137 ; 91193 ; 1350 ; 
83177 ; 91199 ; 1348 ; 
83203 ; 91229 ; 1350 ; 
83207 ; 91237 ; 1376 ; 
83219 ; 91243 ; 1352 ; 
83221 ; 91249 ; 1355 ; 
83227 ; 91253 ; 1353 ; 
83231 ; 91283 ; 1372 ; 
83233 ; 91291 ; 1360 ; 
